Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
08-05-22,0.0,0.0,0.0,0.29,0.29,0.29,0.29,0.29
09-05-22,0.0,0.0,0.0,0.0,0.29,0.29,0.29,0.29
10-05-22,0.0,0.0,0.0,0.0,0.0,0.29,0.29,0.29
11-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29
12-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
13-05-22,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14-05-22,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0
15-05-22,0.57,0.57,0.57,0.0,0.0,0.0,0.0,0.0
16-05-22,0.57,0.57,0.57,0.57,0.0,0.0,0.0,0.0
17-05-22,0.57,0.57,0.57,0.57,0.57,0.0,0.0,0.0
18-05-22,0.57,0.57,0.57,0.57,0.57,0.57,0.0,0.0
19-05-22,0.57,0.57,0.57,0.57,0.57,0.57,0.57,0.0
20-05-22,1.71,0.57,0.57,0.57,0.57,0.57,0.57,0.57
21-05-22,1.71,1.71,0.57,0.57,0.57,0.57,0.57,0.57
22-05-22,1.71,1.71,1.71,0.57,0.57,0.57,0.57,0.57
23-05-22,1.71,1.71,1.71,1.71,0.57,0.57,0.57,0.57
24-05-22,1.71,1.71,1.71,1.71,1.71,0.57,0.57,0.57
25-05-22,1.71,1.71,1.71,1.71,1.71,1.71,0.57,0.57
26-05-22,1.71,1.71,1.71,1.71,1.71,1.71,1.71,0.57
27-05-22,0.0,1.71,1.71,1.71,1.71,1.71,1.71,1.71
28-05-22,0.0,0.0,1.71,1.71,1.71,1.71,1.71,1.71
29-05-22,0.0,0.0,0.0,1.71,1.71,1.71,1.71,1.71
30-05-22,0.0,0.0,0.0,0.0,1.71,1.71,1.71,1.71
31-05-22,0.0,0.0,0.0,0.0,0.0,1.71,1.71,1.71
01-06-22,0.0,0.0,0.0,0.0,0.0,0.0,1.71,1.71
02-06-22,0.14,0.0,0.0,0.0,0.0,0.0,0.0,1.71
03-06-22,2.71,0.14,0.0,0.0,0.0,0.0,0.0,0.0
04-06-22,2.71,2.71,0.14,0.0,0.0,0.0,0.0,0.0
05-06-22,2.71,2.71,2.71,0.14,0.0,0.0,0.0,0.0
06-06-22,2.71,2.71,2.71,2.71,0.14,0.0,0.0,0.0
07-06-22,2.71,2.71,2.71,2.71,2.71,0.14,0.0,0.0
08-06-22,2.71,2.71,2.71,2.71,2.71,2.71,0.14,0.0
09-06-22,2.57,2.71,2.71,2.71,2.71,2.71,2.71,0.14
10-06-22,2.14,2.57,2.71,2.71,2.71,2.71,2.71,2.71
