Date,value
01-1999,0.021615131
02-1999,0.038276794
03-1999,0.105824077
04-1999,0.079405584
05-1999,0.077904533
06-1999,0.09261483
07-1999,0.049984989
08-1999,0.026718703
09-1999,0.061392975
10-1999,0.109276494
11-1999,0.180876614
12-1999,0.104623236
01-2000,0.047733413
02-2000,0.044731312
03-2000,0.056289403
04-2000,0.099969979
05-2000,0.096517562
06-2000,0.073251276
07-2000,0.049084359
08-2000,0.022515761
09-2000,0.013059141
10-2000,0.010207145
11-2000,0.008405884
12-2000,0.008405884
01-2001,0.045782047
02-2001,0.076703693
03-2001,0.162563795
04-2001,0.217051936
05-2001,0.180876614
06-2001,0.149954968
07-2001,0.072650856
08-2001,0.026118283
09-2001,0.018763134
10-2001,0.030021015
11-2001,0.037676373
12-2001,0.072350645
01-2002,0.164515161
02-2002,0.237616331
03-2002,0.30531372
04-2002,0.487391174
05-2002,0.865055539
06-2002,0.772290603
07-2002,0.329180426
08-2002,0.091564095
09-2002,0.036925848
10-2002,0.05148604
11-2002,0.073851696
12-2002,0.100270189
01-2003,0.19468628
02-2003,0.213149204
03-2003,0.3165716
04-2003,0.473131192
05-2003,0.466976884
06-2003,0.249624737
07-2003,0.103722606
08-2003,0.030321225
09-2003,0.020864605
10-2003,0.017712399
11-2003,0.022365656
12-2003,0.02131492
01-2004,0.015460823
02-2004,0.013059141
03-2004,0.021615131
04-2004,0.025968178
05-2004,0.026118283
06-2004,0.042779946
07-2004,0.034524167
08-2004,0.016211348
09-2004,0.005703993
10-2004,0.005403783
11-2004,0.006454518
12-2004,0.005103573
01-2005,0.017111978
02-2005,0.016811768
03-2005,0.025067547
04-2005,0.024467127
05-2005,0.03017112
06-2005,0.032122486
07-2005,0.015911138
08-2005,0.006154308
09-2005,0.004653257
10-2005,0.004953467
11-2005,0.013509457
12-2005,0.013059141
01-2006,0.027769439
02-2006,0.06154308
03-2006,0.139297508
04-2006,0.157760432
05-2006,0.129840889
06-2006,0.076703693
07-2006,0.03992795
08-2006,0.028820174
09-2006,0.021915341
10-2006,0.015460823
11-2006,0.013359352
12-2006,0.019363554
01-2007,0.033173221
02-2007,0.022966076
03-2007,0.032873011
04-2007,0.033323326
05-2007,0.038877214
06-2007,0.039777844
07-2007,0.035124587
08-2007,0.036175323
09-2007,0.021765236
10-2007,0.024467127
11-2007,0.038577004
12-2007,0.042629841
01-2008,0.03992795
02-2008,0.110627439
03-2008,0.168567998
04-2008,0.277093966
05-2008,0.269138397
06-2008,0.187781447
07-2008,0.109276494
08-2008,0.065295707
09-2008,0.036175323
10-2008,0.05088562
11-2008,0.051936355
12-2008,0.042629841
01-2009,0.06124287
02-2009,0.080906635
03-2009,0.069648754
04-2009,0.10177124
05-2009,0.112879015
06-2009,0.096967878
07-2009,0.075953167
08-2009,0.054788352
09-2009,0.048483939
10-2009,0.041579105
11-2009,0.065746022
12-2009,0.20354248
01-2010,0.400780546
02-2010,0.463824677
03-2010,1
04-2010,0.923896728
05-2010,0.719753828
06-2010,0.484238967
07-2010,0.209246473
08-2010,0.103122186
09-2010,0.064244971
10-2010,0.095767037
11-2010,0.169018313
12-2010,0.237916542
01-2011,0.348243771
02-2011,0.506754728
03-2011,0.840888622
04-2011,0.901080757
05-2011,0.844341039
06-2011,0.472981087
07-2011,0.272140498
08-2011,0.146502552
09-2011,0.117832483
10-2011,0.094115881
11-2011,0.124737316
12-2011,0.139747823
01-2012,0.211948364
02-2012,0.191984389
03-2012,0.21329931
04-2012,0.210747523
05-2012,0.202942059
06-2012,0.161513059
07-2012,0.122936055
08-2012,0.072951066
09-2012,0.057190033
10-2012,0.09261483
11-2012,0.094115881
12-2012,0.087511258
01-2013,0.096967878
02-2013,0.116631642
03-2013,0.1331432
04-2013,0.164515161
05-2013,0.200090063
06-2013,0.216301411
07-2013,0.210597418
08-2013,0.109876914
09-2013,0.097568298
10-2013,0.102221555
11-2013,0.069198439
12-2013,0.064845392
01-2014,0.083158211
02-2014,0.063794656
03-2014,0.093215251
04-2014,0.083308316
05-2014,0.056739718
06-2014,0.03992795
07-2014,0.027769439
08-2014,0.020864605
09-2014,0.013809667
10-2014,0.013959772
11-2014,0.017111978
12-2014,0.03137196
01-2015,0.085259682
02-2015,0.083158211
03-2015,0.107024917
04-2015,0.125187631
05-2015,0.085860102
06-2015,0.043980787
07-2015,0.027169018
08-2015,0.009006304
09-2015,0.004803362
10-2015,0.005403783
11-2015,0.008105674
12-2015,0.012008406
01-2016,0.017111978
02-2016,0.025367757
03-2016,0.035725008
04-2016,0.04022816
05-2016,0.045782047
06-2016,0.057790453
07-2016,0.052987091
08-2016,0.06184329
09-2016,0.058691084
10-2016,0.087361153
11-2016,0.113929751
12-2016,0.096367457
01-2017,0.190333233
02-2017,0.256979886
03-2017,0.424497148
04-2017,0.378264785
05-2017,0.35709997
06-2017,0.305013509
07-2017,0.258330832
08-2017,0.139747823
09-2017,0.089912939
10-2017,0.094716301
11-2017,0.115580907
12-2017,0.14229961
01-2018,0.217652357
02-2018,0.317922546
03-2018,0.522815971
04-2018,0.490693485
05-2018,0.409336536
06-2018,0.259531672
07-2018,0.150855599
08-2018,0.070849595
09-2018,0.042779946
10-2018,0.047132993
11-2018,0.062293606
12-2018,0.079705794
01-2019,0.164365056
02-2019,0.235064545
03-2019,0.320174122
04-2019,0.319573702
05-2019,0.325427799
06-2019,0.230411288
07-2019,0.138997298
08-2019,0.073101171
09-2019,0.047733413
10-2019,0.043980787
11-2019,0.037226058
12-2019,0.042029421
