,Date,value
7,08-05-22,0
8,09-05-22,0
9,10-05-22,0
10,11-05-22,0
11,12-05-22,0
12,13-05-22,0.57
13,14-05-22,0.57
14,15-05-22,0.57
15,16-05-22,0.57
16,17-05-22,0.57
17,18-05-22,0.57
18,19-05-22,0.57
19,20-05-22,1.71
20,21-05-22,1.71
21,22-05-22,1.71
22,23-05-22,1.71
23,24-05-22,1.71
24,25-05-22,1.71
25,26-05-22,1.71
26,27-05-22,0
27,28-05-22,0
28,29-05-22,0
29,30-05-22,0
30,31-05-22,0
31,01-06-22,0
32,02-06-22,0.14
33,03-06-22,2.71
34,04-06-22,2.71
35,05-06-22,2.71
36,06-06-22,2.71
37,07-06-22,2.71
38,08-06-22,2.71
39,09-06-22,2.57
40,10-06-22,2.14
41,11-06-22,2.14
42,12-06-22,2.14
43,13-06-22,2.14
44,14-06-22,2.14
45,15-06-22,2.14
46,16-06-22,2.14
47,17-06-22,14.14
48,18-06-22,14.14
49,19-06-22,14.14
50,20-06-22,14.14
51,21-06-22,14.14
52,22-06-22,14.14
53,23-06-22,14.14
54,24-06-22,3.71
55,25-06-22,3.71
56,26-06-22,3.71
57,27-06-22,3.71
58,28-06-22,3.71
59,29-06-22,3.71
60,30-06-22,3.71
61,01-07-22,4.29
62,02-07-22,4.29
63,03-07-22,4.29
64,04-07-22,4.29
65,05-07-22,4.29
66,06-07-22,4.29
67,07-07-22,4.29
68,08-07-22,3.14
69,09-07-22,3.14
70,10-07-22,3.14
71,11-07-22,3.14
72,12-07-22,3.14
73,13-07-22,3.14
74,14-07-22,3.14
75,15-07-22,3.14
76,16-07-22,3.14
77,17-07-22,3.14
78,18-07-22,3.14
79,19-07-22,3.14
80,20-07-22,3.14
81,21-07-22,3.14
82,22-07-22,2.29
83,23-07-22,2.29
84,24-07-22,2.29
85,25-07-22,2.29
86,26-07-22,2.29
87,27-07-22,2.29
88,28-07-22,2.29
89,29-07-22,5.86
90,30-07-22,5.86
91,31-07-22,5.86
92,01-08-22,6
93,02-08-22,6
94,03-08-22,6
95,04-08-22,6
96,05-08-22,3
97,06-08-22,3
98,07-08-22,3
99,08-08-22,2.86
100,09-08-22,2.86
101,10-08-22,3
102,11-08-22,3
103,12-08-22,16.14
104,13-08-22,16.14
105,14-08-22,16.14
106,15-08-22,16.14
107,16-08-22,16.14
108,17-08-22,16
109,18-08-22,16
110,19-08-22,4.71
111,20-08-22,4.71
112,21-08-22,4.71
113,22-08-22,4.71
114,23-08-22,4.71
115,24-08-22,4.71
116,25-08-22,4.71
117,26-08-22,9.86
118,27-08-22,9.86
119,28-08-22,9.86
120,29-08-22,10.14
121,30-08-22,10.14
122,31-08-22,10.14
123,01-09-22,10.14
124,02-09-22,6.57
125,03-09-22,6.57
126,04-09-22,6.57
127,05-09-22,6.29
128,06-09-22,6.57
129,07-09-22,6.57
130,08-09-22,6.57
131,09-09-22,5.86
132,10-09-22,5.86
133,11-09-22,5.86
134,12-09-22,5.86
135,13-09-22,5.57
136,14-09-22,5.57
137,15-09-22,5.86
138,16-09-22,10.29
139,17-09-22,10.29
140,18-09-22,10.29
141,19-09-22,10.29
142,20-09-22,10.29
143,21-09-22,10.43
144,22-09-22,10.14
145,23-09-22,10.57
146,24-09-22,10.57
147,25-09-22,10.57
148,26-09-22,10.57
149,27-09-22,10.71
150,28-09-22,10.57
151,29-09-22,10.57
152,30-09-22,4.57
153,01-10-22,6
154,02-10-22,6
155,03-10-22,6
156,04-10-22,5.86
157,05-10-22,5.86
158,06-10-22,5.86
159,07-10-22,12.29
160,08-10-22,10.86
161,09-10-22,10.86
162,10-10-22,10.86
163,11-10-22,10.86
164,12-10-22,10.86
165,13-10-22,10.86
166,14-10-22,5
167,15-10-22,5
168,16-10-22,5
169,17-10-22,5
170,18-10-22,5
171,19-10-22,5.14
172,20-10-22,5.14
173,21-10-22,6.71
174,22-10-22,6.71
175,23-10-22,6.71
176,24-10-22,6.71
177,25-10-22,6.71
178,26-10-22,6.57
179,27-10-22,6.57
180,28-10-22,4
181,29-10-22,4
182,30-10-22,4
183,31-10-22,4
184,01-11-22,4
185,02-11-22,4
186,03-11-22,4
187,04-11-22,3
188,05-11-22,3
189,06-11-22,3
190,07-11-22,3
191,08-11-22,3
192,09-11-22,3
193,10-11-22,3
194,11-11-22,3.14
195,12-11-22,3.14
196,13-11-22,3.14
197,14-11-22,3.14
198,15-11-22,3.14
199,16-11-22,3.14
200,17-11-22,3.14
201,18-11-22,3.57
202,19-11-22,3.57
203,20-11-22,3.57
204,21-11-22,3.57
205,22-11-22,3.57
206,23-11-22,3.57
207,24-11-22,3.57
208,25-11-22,5
209,26-11-22,5
210,27-11-22,5
211,28-11-22,5
212,29-11-22,5
213,30-11-22,5
214,01-12-22,5
215,02-12-22,6.14
216,03-12-22,6.14
217,04-12-22,6.14
218,05-12-22,6.14
219,06-12-22,6.14
220,07-12-22,6.14
221,08-12-22,6.14
222,09-12-22,4.86
