Date,value
40-2002,0.012164954
41-2002,0.011305717
42-2002,0.012524577
43-2002,0.013023727
44-2002,0.014055105
45-2002,0.013843692
46-2002,0.013256306
47-2002,0.014347453
48-2002,0.012543299
49-2002,0.012575701
50-2002,0.01580172
51-2002,0.019800814
52-2002,0.019042835
1-2003,0.015901037
2-2003,0.018155906
3-2003,0.02418006
4-2003,0.028663516
5-2003,0.031666199
6-2003,0.030155013
7-2003,0.029978018
8-2003,0.023195674
9-2003,0.019470661
10-2003,0.017298524
11-2003,0.015183709
12-2003,0.012261642
13-2003,0.010543335
14-2003,0.010710813
15-2003,0.008261205
16-2003,0.008205052
17-2003,0.006308463
18-2003,0.006393496
19-2003,0.00586609
20-2003,0.007730236
21-2003,0.00790743
22-2003,0.007118473
23-2003,0.007946375
24-2003,0.005866038
25-2003,0.00615982
26-2003,0.004915068
27-2003,0.006043414
28-2003,0.00524478
29-2003,0.005906924
30-2003,0.005051353
31-2003,0.006342707
32-2003,0.006101184
33-2003,0.006412266
34-2003,0.006614286
35-2003,0.007926811
36-2003,0.006390593
37-2003,0.006367315
38-2003,0.007478288
39-2003,0.009608726
40-2003,0.010432493
41-2003,0.010544956
42-2003,0.011123132
43-2003,0.014127357
44-2003,0.017270281
45-2003,0.024069997
46-2003,0.031096225
47-2003,0.043077894
48-2003,0.048302972
49-2003,0.064290479
50-2003,0.068673445
51-2003,0.070649554
52-2003,0.045511502
53-2003,0.024183312
2-2004,0.01809056
3-2004,0.017120239
4-2004,0.015424951
5-2004,0.014378683
6-2004,0.01324274
7-2004,0.013072567
8-2004,0.01036977
9-2004,0.010103204
10-2004,0.010524925
11-2004,0.010200901
12-2004,0.009244187
13-2004,0.00790645
14-2004,0.008026098
15-2004,0.0083613
16-2004,0.007924358
17-2004,0.006835877
18-2004,0.007574523
19-2004,0.007885854
20-2004,0.00812171
21-2004,0.008044629
22-2004,0.008777009
23-2004,0.00741453
24-2004,0.006610222
25-2004,0.007151092
26-2004,0.005622412
27-2004,0.007868082
28-2004,0.008606578
29-2004,0.00689944
30-2004,0.007796912
31-2004,0.006281439
32-2004,0.009024586
33-2004,0.008064432
34-2004,0.008748878
35-2004,0.00993213
36-2004,0.008761408
37-2004,0.009480916
38-2004,0.009269426
39-2004,0.00971643
40-2004,0.008971591
41-2004,0.010224828
42-2004,0.010629632
43-2004,0.01146957
44-2004,0.012049501
45-2004,0.013051655
46-2004,0.012869916
47-2004,0.015946756
48-2004,0.013971432
49-2004,0.014499567
50-2004,0.016174545
51-2004,0.021911192
52-2004,0.025664893
53-2004,0.021764491
2-2005,0.022017121
3-2005,0.025301211
4-2005,0.030652381
5-2005,0.039806083
6-2005,0.045956803
7-2005,0.047519706
8-2005,0.041796206
9-2005,0.034535851
10-2005,0.031585224
11-2005,0.02673201
12-2005,0.023516104
13-2005,0.018924285
14-2005,0.015249048
15-2005,0.014113441
16-2005,0.012506826
17-2005,0.01207025
18-2005,0.01078955
19-2005,0.01145208
20-2005,0.010612426
21-2005,0.010567977
22-2005,0.01251931
23-2005,0.010141893
24-2005,0.010419693
25-2005,0.009540274
26-2005,0.008482299
27-2005,0.008418715
28-2005,0.007308936
29-2005,0.007134316
30-2005,0.006706772
31-2005,0.006892776
32-2005,0.00704929
33-2005,0.006159033
34-2005,0.006094256
35-2005,0.006802587
36-2005,0.007754884
37-2005,0.006834214
38-2005,0.007810748
39-2005,0.008069435
40-2005,0.010763468
41-2005,0.01058689
42-2005,0.011152326
43-2005,0.011238125
44-2005,0.012548892
45-2005,0.01336609
46-2005,0.013786364
47-2005,0.0160829
48-2005,0.014831056
49-2005,0.016537399
50-2005,0.020067892
51-2005,0.025685716
52-2005,0.030527762
53-2005,0.024250373
1-2006,0.020019506
2-2006,0.020586902
3-2006,0.022127697
4-2006,0.023222001
5-2006,0.02492792
6-2006,0.027948942
7-2006,0.029691114
8-2006,0.028395905
9-2006,0.027779902
10-2006,0.024728693
11-2006,0.021806146
12-2006,0.020167951
13-2006,0.016410133
14-2006,0.013582865
15-2006,0.011427983
16-2006,0.010403125
17-2006,0.009643469
18-2006,0.009379817
19-2006,0.009474493
20-2006,0.008919182
21-2006,0.008646427
22-2006,0.009703199
23-2006,0.008443901
24-2006,0.007748704
25-2006,0.008213725
26-2006,0.008727445
27-2006,0.009226345
28-2006,0.008994868
29-2006,0.008430824
30-2006,0.008818244
31-2006,0.008171452
32-2006,0.008715001
33-2006,0.007386205
34-2006,0.00797966
35-2006,0.010139373
36-2006,0.008809358
37-2006,0.009433663
38-2006,0.008915462
39-2006,0.012032228
40-2006,0.010578822
41-2006,0.011305354
42-2006,0.01125523
43-2006,0.01208082
44-2006,0.013495244
45-2006,0.014689004
46-2006,0.018276716
47-2006,0.016656012
48-2006,0.018596834
