Date,value,value_lag_1,value_lag_2,value_lag_3,value_lag_4,value_lag_5,value_lag_6,value_lag_7
08-1999,0.026718703,0.049984989,0.09261483,0.077904533,0.079405584,0.105824077,0.038276794,0.021615131
09-1999,0.061392975,0.026718703,0.049984989,0.09261483,0.077904533,0.079405584,0.105824077,0.038276794
10-1999,0.109276494,0.061392975,0.026718703,0.049984989,0.09261483,0.077904533,0.079405584,0.105824077
11-1999,0.180876614,0.109276494,0.061392975,0.026718703,0.049984989,0.09261483,0.077904533,0.079405584
12-1999,0.104623236,0.180876614,0.109276494,0.061392975,0.026718703,0.049984989,0.09261483,0.077904533
01-2000,0.047733413,0.104623236,0.180876614,0.109276494,0.061392975,0.026718703,0.049984989,0.09261483
02-2000,0.044731312,0.047733413,0.104623236,0.180876614,0.109276494,0.061392975,0.026718703,0.049984989
03-2000,0.056289403,0.044731312,0.047733413,0.104623236,0.180876614,0.109276494,0.061392975,0.026718703
04-2000,0.099969979,0.056289403,0.044731312,0.047733413,0.104623236,0.180876614,0.109276494,0.061392975
05-2000,0.096517562,0.099969979,0.056289403,0.044731312,0.047733413,0.104623236,0.180876614,0.109276494
06-2000,0.073251276,0.096517562,0.099969979,0.056289403,0.044731312,0.047733413,0.104623236,0.180876614
07-2000,0.049084359,0.073251276,0.096517562,0.099969979,0.056289403,0.044731312,0.047733413,0.104623236
08-2000,0.022515761,0.049084359,0.073251276,0.096517562,0.099969979,0.056289403,0.044731312,0.047733413
09-2000,0.013059141,0.022515761,0.049084359,0.073251276,0.096517562,0.099969979,0.056289403,0.044731312
10-2000,0.010207145,0.013059141,0.022515761,0.049084359,0.073251276,0.096517562,0.099969979,0.056289403
11-2000,0.008405884,0.010207145,0.013059141,0.022515761,0.049084359,0.073251276,0.096517562,0.099969979
12-2000,0.008405884,0.008405884,0.010207145,0.013059141,0.022515761,0.049084359,0.073251276,0.096517562
01-2001,0.045782047,0.008405884,0.008405884,0.010207145,0.013059141,0.022515761,0.049084359,0.073251276
02-2001,0.076703693,0.045782047,0.008405884,0.008405884,0.010207145,0.013059141,0.022515761,0.049084359
03-2001,0.162563795,0.076703693,0.045782047,0.008405884,0.008405884,0.010207145,0.013059141,0.022515761
04-2001,0.217051936,0.162563795,0.076703693,0.045782047,0.008405884,0.008405884,0.010207145,0.013059141
05-2001,0.180876614,0.217051936,0.162563795,0.076703693,0.045782047,0.008405884,0.008405884,0.010207145
06-2001,0.149954968,0.180876614,0.217051936,0.162563795,0.076703693,0.045782047,0.008405884,0.008405884
07-2001,0.072650856,0.149954968,0.180876614,0.217051936,0.162563795,0.076703693,0.045782047,0.008405884
08-2001,0.026118283,0.072650856,0.149954968,0.180876614,0.217051936,0.162563795,0.076703693,0.045782047
